DATE,ME,AVG,TIME,RELATIVE SCORE,CO2,TEMP
02/14/20,225,278,,80.9352517985612,,
02/22/20,171,216,,79.1666666666667,,
02/22/20,292,359,,81.3370473537605,,
02/22/20,170,205,,82.9268292682927,,
02/23/20,251,224,,112.053571428571,,
02/23/20,229,303,,75.5775577557756,,
02/23/20,131,124,,105.645161290323,,
02/23/20,199,153,,130.065359477124,,
02/23/20,212,252,,84.1269841269841,,
02/23/20,93,67,,138.805970149254,,
02/29/20,116,94,,123.404255319149,,
02/29/20,107,84,,127.380952380952,,
02/29/20,217,185,,117.297297297297,,
02/29/20,169,159,,106.289308176101,,
02/29/20,227,198,,114.646464646465,,
03/06/20,331,251,,131.872509960159,,
03/06/20,156,146,,106.849315068493,,
03/06/20,230,225,,102.222222222222,,
03/24/20,178,257,,69.2607003891051,,
03/24/20,200,188,,106.382978723404,,
03/24/20,248,247,,100.404858299595,,
03/24/20,261,274,,95.2554744525548,,
03/24/20,206,222,,92.7927927927928,,
03/29/20,220,208,,105.769230769231,,
03/29/20,328,278,,117.985611510791,,
03/29/20,204,291,,70.1030927835051,,
03/29/20,221,245,,90.2040816326531,,
03/29/20,117,119,,98.3193277310924,,
04/03/20,126,120,,105,,
04/03/20,167,173,,96.5317919075144,,
04/03/20,198,177,,111.864406779661,,
04/03/20,298,267,,111.610486891386,,
04/03/20,188,205,,91.7073170731707,,
04/04/20,122,145,,84.1379310344828,,
04/04/20,232,231,,100.4329004329,,
04/04/20,169,160,,105.625,,
04/04/20,172,202,,85.1485148514852,,
04/05/20,250,217,,115.207373271889,,
04/05/20,195,218,,89.4495412844037,,
04/05/20,171,178,,96.0674157303371,,
05/23/20,272,270,,100.740740740741,,
05/23/20,153,159,,96.2264150943396,,
06/14/20,137,152,,90.1315789473684,,
06/14/20,256,173,,147.976878612717,,
06/14/20,198,236,,83.8983050847458,,
06/14/20,199,225,,88.4444444444445,,
06/14/20,174,193,,90.1554404145078,,
06/15/20,221,372,,59.4086021505376,,
06/14/20,201,209,,96.1722488038278,,
06/14/20,243,281,,86.4768683274021,,
06/14/20,129,175,,73.7142857142857,,
07/03/20,236,227,,103.964757709251,,
07/03/20,180,256,,70.3125,,
07/03/20,213,227,,93.8325991189427,,
07/03/20,152,148,,102.702702702703,,
07/03/20,204,168,,121.428571428571,,
07/03/20,205,266,,77.0676691729323,,
07/03/20,179,198,,90.4040404040404,,
07/04/20,247,239,,103.347280334728,,
07/04/20,160,188,,85.1063829787234,,
07/04/20,213,307,,69.3811074918567,,
07/04/20,167,183,,91.2568306010929,,
07/13/20,229,263,,87.0722433460076,,
07/13/20,127,154,,82.4675324675325,,
07/13/20,211,268,,78.7313432835821,,
07/13/20,303,271,,111.808118081181,,
07/13/20,118,122,,96.7213114754098,,
07/15/20,194,261,,74.3295019157088,,
07/15/20,174,187,,93.048128342246,,
07/15/20,266,254,,104.724409448819,,
07/15/20,168,140,,120,,
07/15/20,206,174,,118.390804597701,,
07/15/20,131,141,,92.9078014184397,,
07/15/20,255,335,,76.1194029850746,,
07/15/20,213,222,,95.9459459459459,,
07/15/20,180,163,,110.429447852761,,
07/17/20,147,199,,73.8693467336683,,
07/19/20,117,116,,100.862068965517,,
07/19/20,280,329,,85.1063829787234,,
07/19/20,255,275,,92.7272727272727,,
07/19/20,155,152,,101.973684210526,,
07/23/20,244,241,,101.244813278008,,
07/23/20,194,179,,108.379888268156,,
07/23/20,200,187,,106.951871657754,,
07/23/20,179,189,,94.7089947089947,,
07/24/20,165,103,,160.194174757282,,
07/24/20,283,276,,102.536231884058,,
07/24/20,193,197,,97.9695431472081,,
07/24/20,255,224,,113.839285714286,,
07/24/20,142,197,,72.0812182741117,,
07/25/20,174,206,,84.4660194174757,,
07/25/20,191,219,,87.2146118721461,,
07/26/20,270,302,,89.4039735099338,,
07/26/20,246,266,,92.4812030075188,,
07/26/20,210,240,,87.5,,
07/31/20,174,178,,97.7528089887641,,
07/31/20,231,205,,112.682926829268,,
07/31/20,246,299,,82.2742474916388,,
07/31/20,219,267,,82.0224719101124,,
07/31/20,98,139,,70.5035971223022,,
07/31/20,193,233,,82.8326180257511,,
12/29/20,296,383,,77.2845953002611,,
12/29/20,282,215,,131.162790697674,,
12/29/20,221,271,,81.549815498155,,
12/29/20,162,220,,73.6363636363636,,
12/31/20,248,194,,127.835051546392,,
12/31/20,96,105,,91.4285714285714,,
12/31/20,212,193,,109.844559585492,,
12/31/20,142,167,,85.0299401197605,,
12/31/20,154,168,,91.6666666666667,,
01/01/21,124,128,,96.875,,
01/01/21,196,163,,120.245398773006,,
01/01/21,243,236,,102.966101694915,,
01/01/21,199,308,,64.6103896103896,,
01/01/21,228,292,,78.0821917808219,,
01/01/21,140,185,,75.6756756756757,,
01/03/21,158,162,,97.5308641975309,,
01/03/21,120,115,,104.347826086957,,
01/03/21,225,231,,97.4025974025974,,
01/03/21,247,283,,87.2791519434629,,
01/03/21,214,197,,108.629441624365,,
01/03/21,276,284,,97.1830985915493,,
01/03/21,177,202,,87.6237623762376,,
01/03/21,224,229,,97.8165938864629,,
01/03/21,194,262,,74.0458015267176,,
01/12/21,194,228,,85.0877192982456,,
01/12/21,240,318,,75.4716981132076,,
01/18/21,270,266,,101.503759398496,,
01/18/21,211,221,,95.4751131221719,,
01/18/21,210,185,,113.513513513514,,
01/18/21,244,205,,119.024390243902,,
01/18/21,291,267,,108.988764044944,,
01/19/21,188,218,,86.2385321100918,,
01/19/21,172,181,,95.0276243093923,,
01/19/21,182,166,,109.638554216867,,
01/19/21,236,234,,100.854700854701,,
01/19/21,150,188,,79.7872340425532,,
04/06/21,172,150,,114.666666666667,1179,
04/06/21,204,244,,83.6065573770492,1191,
04/06/21,165,205,,80.4878048780488,1202,
04/06/21,282,337,,83.6795252225519,1210,
04/07/21,167,226,,73.8938053097345,514,
04/07/21,128,128,,100,540,
04/07/21,105,121,,86.7768595041322,560,
04/07/21,206,175,,117.714285714286,574,
04/07/21,214,187,,114.438502673797,595,
04/07/21,142,180,,78.8888888888889,617,
04/07/21,287,288,,99.6527777777778,1010,
04/08/21,193,270,,71.4814814814815,1262,
